Account Name,Account ID,Deployment Name,Deployment HREF,Server Name,Server HREF,Tags
[RS Demo] Hybrid Cloud,30601,CloudPlatform Demo Burst AWS,/api/deployments/308181001,Rails App Server,/api/servers/749738001,appserver:active=true appserver:listen_ip=198.23.67.205 appserver:listen_port=8000 rs_login:state=restricted rs_monitoring:state=active server:private_ip_0=198.23.67.205 server:public_ip_0=198.23.67.205 server:uuid=03-FGT08QNAMJD28
[RS Demo] Hybrid Cloud,30601,CloudPlatform Demo Burst AWS,/api/deployments/308181001,Load Balancer - Private Cloud,/api/servers/747531001,loadbalancer:default=lb rs_login:state=restricted rs_monitoring:state=active server:private_ip_0=198.23.67.204 server:public_ip_0=198.23.67.204 server:uuid=03-0USAPVIQON4JA
[RS Demo] Hybrid Cloud,30601,CloudPlatform Demo Burst AWS,/api/deployments/308181001,MySQL 5.5,/api/servers/747511001,database:active=true rs_login:state=restricted rs_monitoring:state=active server:private_ip_0=198.23.67.203 server:public_ip_0=198.23.67.203 server:uuid=03-9LSI8IDR4LU1O
[RS Demo] Hybrid Cloud,30601,CloudPlatform Demo Burst AWS,/api/deployments/308181001,Apache-Rails-Passenger App Server (v13.3),/api/servers/885684001,appserver:active=true appserver:listen_ip=198.23.64.71 appserver:listen_port=8000 rs_login:state=restricted rs_monitoring:state=active server:private_ip_0=198.23.64.71 server:public_ip_0=198.23.64.71 server:uuid=03-ACUTUQB2VBTLG
[RS Demo] Hybrid Cloud,30601,CloudPlatform Demo Burst AWS,/api/deployments/308181001,Load Balancer - Public Cloud,/api/servers/747552001,loadbalancer:default=lb rs_login:state=restricted rs_monitoring:state=active server:private_ip_0=10.248.40.246 server:public_ip_0=54.212.77.41 server:uuid=01-9GLQCH6GEEBJ3
[RS Demo] Softlayer,54522,MusicMastermind,/api/deployments/434742003,Chef Client Beta (v13.5) v2,/api/servers/919695003,""
[RS Demo] Softlayer,54522,PHP 3-Tier Autoscaling,/api/deployments/225908001,Load Balancer - USA 01,/api/servers/539113001,loadbalancer:myapp-usa=lb rs_login:state=restricted rs_monitoring:state=active server:private_ip_0=10.28.137.195 server:public_ip_0=173.192.162.67 server:uuid=03-EE18PE161J5K7
[RS Demo] Softlayer,54522,PHP 3-Tier Autoscaling,/api/deployments/225908001,Load Balancer - USA 02,/api/servers/539128001,loadbalancer:myapp-usa=lb rs_login:state=restricted rs_monitoring:state=active server:private_ip_0=10.28.137.196 server:public_ip_0=173.192.162.68 server:uuid=03-F7PBH3VNS6N87
[RS Demo] Softlayer,54522,PHP 3-Tier Autoscaling,/api/deployments/225908001,MySQL - USA 02,/api/servers/539154001,database:active=true rs_login:state=restricted rs_monitoring:state=active server:private_ip_0=10.28.137.198 server:public_ip_0=173.192.162.70 server:uuid=03-F2PJPV2GBKLQ7
[RS Demo] Softlayer,54522,SoftLayer Demo,/api/deployments/301310001,db1,/api/servers/510129001,database:active=true rs_login:state=restricted rs_monitoring:state=active server:private_ip_0=50.97.230.20 server:public_ip_0=50.97.230.20 server:uuid=01-2J9ANN4
